Thomas Mann (geb. 1952) zählt zu den bedeutendsten... ;Historikern;Mathematikern;Gedichtschreibern;Erzählern der deutschen Sprache;4
Wo wurde Thomas Mann geboren?;Hamburg;Rostock;Lübeck;Stralsund;3
Lessing war der Kämpfer der... ;Meinungsfreiheit;Persönlichen Freiheit;Königsfamilie;Klassikmusik;2
Eines der bekanntesten Stücke von G.F.Händel war...;„Feuertanz“;„Wassermusik“;„Luftzug“;„Erdfessel“;2
In welchem Jahr starb Gotthold Ephraim Lessing?;1759;1772;1788;1781;4
Wo wurde Georg Friedrich Händel begraben?;Newcastle Pub;Londoner Big Ben;Manchester;Westminster Abbey;4
Welche war die höchste Auszeichnung für Gerhart Hauptmann?;Nobelpreis;Grammy;Echo;deutsche Filmpreis;1
Wie hieß der 3. US-Präsident?;Bill Clinton;Thomas Jefferson;George Washington;John Adams;2
Abraham Lincoln war der 16. US-Präsident. Wen befreite er?;Die Sklaven;Die Indianer;Die Deutschen;Die Russen;1
Wo saß Napoleon Bonaparte im Exil fest?;Mallorca;Ibiza;Insel Elba;Venedig;3
Welche Schlacht war die letzte von Napoleon?;Völkerschlacht;Schlacht um Frankfurt;Feldzug gegen Russland;Schlacht um Waterloo;4
Mit wievielen Stichen wurde Julius Caesar erstochen aufgefunden?;47;42;43;45;1
Julis Caesar war Staatsmann, römischer Feldherr und...;Dichter;Schriftsteller;Jurist;Autor;4
Weswegen musste Kaiser Wilhelm II. von seinem Thron abdanken?;Machtergreifung durch Hitler;Putsch;Versailler Vertrag;Krankheit;3
Nelson Mandela war ein...;Prophet;Politiker;Terrorist;Sänger;2
Wo fand das Attentat auf John F. Kennedy statt?;Denver, Colorado;Boise, Idaho;Dallas, Texas;Topeka, Kansas;3
Martin Luther King war ein armer Theologe und...;Bürgerrechtler;Gegner der Todesstrafe;Revolutionsheld;Bürgermeister;1
Wie lautete der Geburtsname von Angela Merkel?;Merkel;Kasner;Jentzsch;Kazmierczak ;2
